time,1min,2min,5min,1min%,2min%,5min%
2020-06-26T09:15:00+05:30,,,,,,
2020-06-26T09:16:00+05:30,,,,,,
2020-06-26T09:17:00+05:30,,,,,,
2020-06-26T09:18:00+05:30,,,,,,
2020-06-26T09:19:00+05:30,,,,,,
2020-06-26T09:20:00+05:30,,,,,,
2020-06-26T09:21:00+05:30,,,,,,
2020-06-26T09:22:00+05:30,,,,,,
2020-06-26T09:23:00+05:30,,,,,,
2020-06-26T09:24:00+05:30,,,,,,
2020-06-26T09:25:00+05:30,,,,,,
2020-06-26T09:26:00+05:30,,,,,,
2020-06-26T09:27:00+05:30,,,,,,
2020-06-26T09:28:00+05:30,,,,,,
2020-06-26T09:29:00+05:30,,,,,,
2020-06-26T09:30:00+05:30,,,,,,
2020-06-26T09:31:00+05:30,,,,,,
2020-06-26T09:32:00+05:30,,,,,,
2020-06-26T09:33:00+05:30,,,,,,
2020-06-26T09:34:00+05:30,,,,,,
2020-06-26T09:35:00+05:30,,,,,,
2020-06-26T09:36:00+05:30,,,,,,
2020-06-26T09:37:00+05:30,,,,,,
2020-06-26T09:38:00+05:30,,,,,,
2020-06-26T09:39:00+05:30,,,,,,
2020-06-26T09:40:00+05:30,,,,,,
2020-06-26T09:41:00+05:30,,,,,,
2020-06-26T09:42:00+05:30,,,,,,
2020-06-26T09:43:00+05:30,,,,,,
2020-06-26T09:44:00+05:30,,,,,,
2020-06-26T09:45:00+05:30,,,,,,
2020-06-26T09:46:00+05:30,,,,,,
2020-06-26T09:47:00+05:30,,,,,,
2020-06-26T09:48:00+05:30,0.732675,,,,,
2020-06-26T09:49:00+05:30,0.793673,,,8.325445,,
2020-06-26T09:50:00+05:30,0.95071,,,19.78605,,
2020-06-26T09:51:00+05:30,0.82569,,,-13.1501,,
2020-06-26T09:52:00+05:30,1.259268,,,52.5109,,
2020-06-26T09:53:00+05:30,1.647221,,,30.80788,,
2020-06-26T09:54:00+05:30,2.081405,,,26.35854,,
2020-06-26T09:55:00+05:30,2.574495,,,23.69028,,
2020-06-26T09:56:00+05:30,2.30698,,,-10.391,,
2020-06-26T09:57:00+05:30,1.73104,,,-24.9651,,
2020-06-26T09:58:00+05:30,1.530483,,,-11.5859,,
2020-06-26T09:59:00+05:30,1.093601,,,-28.5453,,
2020-06-26T10:00:00+05:30,0.880003,,,-19.5317,,
2020-06-26T10:01:00+05:30,0.837881,,,-4.78656,,
2020-06-26T10:02:00+05:30,0.826955,,,-1.30402,,
2020-06-26T10:03:00+05:30,0.802361,,,-2.97406,,
2020-06-26T10:04:00+05:30,0.854814,,,6.537388,,
2020-06-26T10:05:00+05:30,1.049779,,,22.80785,,
2020-06-26T10:06:00+05:30,1.433135,,,36.51778,,
2020-06-26T10:07:00+05:30,1.572974,,,9.75761,,
2020-06-26T10:08:00+05:30,1.290805,,,-17.9386,,
2020-06-26T10:09:00+05:30,1.234612,,,-4.35336,,
2020-06-26T10:10:00+05:30,0.886227,,,-28.2181,,
2020-06-26T10:11:00+05:30,0.536872,,,-39.4205,,
2020-06-26T10:12:00+05:30,0.245479,,,-54.276,,
2020-06-26T10:13:00+05:30,-0.1927,,,-178.5,,
2020-06-26T10:14:00+05:30,-0.50803,,,163.6327,,
2020-06-26T10:15:00+05:30,-1.07327,,,111.2634,,
2020-06-26T10:16:00+05:30,-1.41847,,,32.16335,,
2020-06-26T10:17:00+05:30,-1.72568,,,21.65741,,
2020-06-26T10:18:00+05:30,-2.61444,,,51.50243,,
2020-06-26T10:19:00+05:30,-2.31545,,,-11.4361,,
2020-06-26T10:20:00+05:30,-2.27476,-1.93629,,-1.75728,,
2020-06-26T10:21:00+05:30,-2.69924,,,18.66048,0,
2020-06-26T10:22:00+05:30,-2.05628,-1.6895,,-23.82,-12.7455,
2020-06-26T10:23:00+05:30,-1.32531,,,-35.5482,0,
2020-06-26T10:24:00+05:30,-0.82336,-1.32809,,-37.874,-21.3916,
2020-06-26T10:25:00+05:30,-0.33304,,,-59.5507,0,
2020-06-26T10:26:00+05:30,-0.37593,-1.31759,,12.87648,-0.79053,
2020-06-26T10:27:00+05:30,-0.28085,,,-25.2919,0,
2020-06-26T10:28:00+05:30,0.014422,-0.97416,,-105.135,-26.0653,
2020-06-26T10:29:00+05:30,0.260113,,,1703.598,0,
2020-06-26T10:30:00+05:30,0.783536,-0.12512,,201.2288,-87.1557,
2020-06-26T10:31:00+05:30,1.470956,,,87.73307,0,
2020-06-26T10:32:00+05:30,1.8293,0.628041,,24.36127,-601.937,
2020-06-26T10:33:00+05:30,2.019057,,,10.37322,0,
2020-06-26T10:34:00+05:30,2.047117,0.994619,,1.389754,58.3685,
2020-06-26T10:35:00+05:30,1.731566,,,-15.4144,0,
2020-06-26T10:36:00+05:30,1.331304,0.964987,,-23.1156,-2.97923,
2020-06-26T10:37:00+05:30,1.026721,,,-22.8785,0,
2020-06-26T10:38:00+05:30,0.81169,0.849107,,-20.9435,-12.0084,
2020-06-26T10:39:00+05:30,0.429275,,,-47.1135,0,
2020-06-26T10:40:00+05:30,0.423693,0.992824,,-1.30017,16.92562,
2020-06-26T10:41:00+05:30,0.567477,,,33.93584,0,
2020-06-26T10:42:00+05:30,0.732232,1.070879,,29.03282,7.86187,
2020-06-26T10:43:00+05:30,0.44991,,,-38.5563,0,
2020-06-26T10:44:00+05:30,0.315959,0.930533,,-29.7728,-13.1057,
2020-06-26T10:45:00+05:30,0.108998,,,-65.5024,0,
2020-06-26T10:46:00+05:30,-0.5958,0.299559,,-646.615,-67.8077,
2020-06-26T10:47:00+05:30,-0.80214,,,34.63181,0,
2020-06-26T10:48:00+05:30,-0.92272,0.106627,,15.0325,-64.4055,
2020-06-26T10:49:00+05:30,-0.69076,,,-25.139,0,
2020-06-26T10:50:00+05:30,-0.90892,-0.12895,,31.58384,-220.931,
2020-06-26T10:51:00+05:30,-0.7001,,,-22.9745,0,
2020-06-26T10:52:00+05:30,-0.41808,-0.00048,,-40.2834,-99.6278,
2020-06-26T10:53:00+05:30,-0.21887,,,-47.6482,0,
2020-06-26T10:54:00+05:30,0.157798,0.349423,,-172.096,-72909.3,
2020-06-26T10:55:00+05:30,0.43733,,,177.1457,0,
2020-06-26T10:56:00+05:30,0.886026,0.694537,,102.599,98.76645,
2020-06-26T10:57:00+05:30,0.754697,,,-14.8222,0,
2020-06-26T10:58:00+05:30,0.5745,0.851047,,-23.8768,22.53451,
2020-06-26T10:59:00+05:30,0.847251,,,47.47634,0,
2020-06-26T11:00:00+05:30,1.400437,1.608317,,65.29177,88.98104,
2020-06-26T11:01:00+05:30,1.781304,,,27.19635,0,
2020-06-26T11:02:00+05:30,2.010996,2.172274,,12.89456,35.06499,
2020-06-26T11:03:00+05:30,2.068682,,,2.868522,0,
2020-06-26T11:04:00+05:30,1.806602,2.334852,,-12.6689,7.484246,
2020-06-26T11:05:00+05:30,1.676001,,,-7.22913,0,
2020-06-26T11:06:00+05:30,1.180918,1.986312,,-29.5395,-14.9277,
2020-06-26T11:07:00+05:30,0.576375,,,-51.1927,0,
2020-06-26T11:08:00+05:30,0.0389,1.572069,,-93.2509,-20.8549,
2020-06-26T11:09:00+05:30,-0.09979,,,-356.532,0,
2020-06-26T11:10:00+05:30,-0.14377,1.500132,,44.06928,-4.57593,
2020-06-26T11:11:00+05:30,0.001889,,,-101.314,0,
2020-06-26T11:12:00+05:30,0.35768,1.714893,,18839.64,14.31616,
2020-06-26T11:13:00+05:30,0.452381,,,26.47643,0,
2020-06-26T11:14:00+05:30,0.549748,2.063871,,21.52313,20.34984,
2020-06-26T11:15:00+05:30,1.085961,,,97.53802,0,
2020-06-26T11:16:00+05:30,1.254,2.459617,,15.47382,19.17491,
2020-06-26T11:17:00+05:30,1.485934,,,18.49548,0,
2020-06-26T11:18:00+05:30,1.410517,2.505731,,-5.07534,1.874851,
2020-06-26T11:19:00+05:30,1.127245,,,-20.0829,0,
2020-06-26T11:20:00+05:30,1.230131,2.898933,,9.127276,15.69213,
2020-06-26T11:21:00+05:30,1.582813,,,28.67021,0,
2020-06-26T11:22:00+05:30,1.205235,2.699103,,-23.8548,-6.89324,
2020-06-26T11:23:00+05:30,0.862434,,,-28.4427,0,
2020-06-26T11:24:00+05:30,0.372362,2.114345,,-56.8243,-21.6649,
2020-06-26T11:25:00+05:30,-0.22666,,,-160.87,0,
2020-06-26T11:26:00+05:30,-0.56529,1.623671,,149.4041,-23.2069,
2020-06-26T11:27:00+05:30,-0.68338,,,20.8915,0,
2020-06-26T11:28:00+05:30,-0.92992,1.209204,,36.07597,-25.5266,
2020-06-26T11:29:00+05:30,-0.83987,,,-9.68396,0,
2020-06-26T11:30:00+05:30,-1.00114,0.79925,,19.20206,-33.9028,
2020-06-26T11:31:00+05:30,-0.98692,,,-1.42013,0,
2020-06-26T11:32:00+05:30,-1.01437,0.408602,,2.78112,-48.8768,
2020-06-26T11:33:00+05:30,-1.11843,,,10.25824,0,
2020-06-26T11:34:00+05:30,-0.77748,0.481968,,-30.4843,17.95518,
2020-06-26T11:35:00+05:30,-0.44814,,,-42.3606,0,
2020-06-26T11:36:00+05:30,-0.04658,0.672106,,-89.6065,39.45043,
2020-06-26T11:37:00+05:30,0.09212,,,-297.781,0,
2020-06-26T11:38:00+05:30,-0.00524,0.520289,,-105.686,-22.5882,
2020-06-26T11:39:00+05:30,-0.09546,,,1722.657,0,
2020-06-26T11:40:00+05:30,-0.31667,0.160914,,231.7195,-69.0721,
2020-06-26T11:41:00+05:30,-0.57256,,,80.80518,0,
2020-06-26T11:42:00+05:30,-0.44617,0.179719,,-22.0739,11.68618,
2020-06-26T11:43:00+05:30,-0.23896,,,-46.4428,0,
2020-06-26T11:44:00+05:30,-0.12222,0.217184,,-48.8508,20.84633,
2020-06-26T11:45:00+05:30,-0.03933,,,-67.8236,0,
2020-06-26T11:46:00+05:30,0.075542,0.324513,,-292.085,49.41819,
2020-06-26T11:47:00+05:30,0.197876,,,161.9411,0,
2020-06-26T11:48:00+05:30,0.426515,0.564991,,115.5463,74.10441,
2020-06-26T11:49:00+05:30,0.536517,,,25.79107,0,
2020-06-26T11:50:00+05:30,0.651326,0.72825,,21.39886,28.8959,
2020-06-26T11:51:00+05:30,0.618054,,,-5.10834,0,
2020-06-26T11:52:00+05:30,0.30085,0.432436,,-51.3229,-40.6199,
2020-06-26T11:53:00+05:30,-0.06031,,,-120.047,0,
2020-06-26T11:54:00+05:30,-0.13958,0.219188,,131.4401,-49.3131,
2020-06-26T11:55:00+05:30,-0.35998,,,157.8961,0,
2020-06-26T11:56:00+05:30,-0.27355,0.258229,,-24.0103,17.81137,
2020-06-26T11:57:00+05:30,-0.09124,,,-66.644,0,
2020-06-26T11:58:00+05:30,0.042881,0.309173,,-146.996,19.72855,
2020-06-26T11:59:00+05:30,0.043955,,,2.504084,0,
2020-06-26T12:00:00+05:30,0.280566,0.593948,2.598373,538.3053,92.10834,
2020-06-26T12:01:00+05:30,0.540085,,,92.49792,0,0
2020-06-26T12:02:00+05:30,0.81827,0.887747,,51.50777,49.46542,0
2020-06-26T12:03:00+05:30,0.80772,,,-1.28939,0,0
2020-06-26T12:04:00+05:30,0.876559,1.128295,,8.522714,27.09656,0
2020-06-26T12:05:00+05:30,0.954453,,2.950078,8.886298,0,13.53557
2020-06-26T12:06:00+05:30,0.709483,1.132024,,-25.6659,0.330501,0
2020-06-26T12:07:00+05:30,0.707335,,,-0.30288,0,0
2020-06-26T12:08:00+05:30,0.70591,1.102607,,-0.20142,-2.5987,0
2020-06-26T12:09:00+05:30,0.409844,,,-41.9411,0,0
2020-06-26T12:10:00+05:30,0.27554,0.986029,3.139469,-32.7696,-10.5729,6.419877
2020-06-26T12:11:00+05:30,0.153311,,,-44.3597,0,0
2020-06-26T12:12:00+05:30,0.1181,0.888884,,-22.9674,-9.85212,0
2020-06-26T12:13:00+05:30,0.014561,,,-87.6707,0,0
2020-06-26T12:14:00+05:30,0.253305,1.067043,,1639.635,20.04301,0
2020-06-26T12:15:00+05:30,0.374406,,3.358099,47.80797,0,6.963911
2020-06-26T12:16:00+05:30,0.306077,0.991171,,-18.2499,-7.11049,0
2020-06-26T12:17:00+05:30,0.195293,,,-36.195,0,0
2020-06-26T12:18:00+05:30,0.17175,0.950844,,-12.055,-4.06863,0
2020-06-26T12:19:00+05:30,0.152678,,,-11.1047,0,0
2020-06-26T12:20:00+05:30,1.027315,1.792686,4.340476,572.8651,88.53624,29.25396
2020-06-26T12:21:00+05:30,1.507711,,,46.76223,0,0
2020-06-26T12:22:00+05:30,1.989991,2.312798,,31.98753,29.01304,0
2020-06-26T12:23:00+05:30,1.786312,,,-10.2352,0,0
2020-06-26T12:24:00+05:30,1.373082,1.973308,,-23.1331,-14.6788,0
2020-06-26T12:25:00+05:30,0.649208,,4.015811,-52.7189,0,-7.47995
2020-06-26T12:26:00+05:30,-0.3382,1.223205,,-152.095,-38.0124,0
2020-06-26T12:27:00+05:30,-0.51291,,,51.65635,0,0
2020-06-26T12:28:00+05:30,-0.74544,0.631988,,45.33694,-48.3334,0
2020-06-26T12:29:00+05:30,-1.17903,,,58.16475,0,0
2020-06-26T12:30:00+05:30,-1.49623,0.059824,3.518598,26.9037,-90.534,-12.3814
2020-06-26T12:31:00+05:30,-1.47794,,,-1.22238,0,0
2020-06-26T12:32:00+05:30,-1.39693,-0.29026,,-5.48113,-585.18,0
2020-06-26T12:33:00+05:30,-1.4117,,,1.056688,0,0
2020-06-26T12:34:00+05:30,-1.1634,-0.38799,,-17.5882,33.67284,0
2020-06-26T12:35:00+05:30,-0.97758,,3.318655,-15.9725,0,-5.68247
2020-06-26T12:36:00+05:30,-0.62463,-0.26253,,-36.1042,-32.337,0
2020-06-26T12:37:00+05:30,-0.37547,,,-39.8899,0,0
2020-06-26T12:38:00+05:30,-0.21951,-0.29511,,-41.5366,12.41019,0
2020-06-26T12:39:00+05:30,-0.30515,,,39.01378,0,0
2020-06-26T12:40:00+05:30,-0.17646,-0.16271,2.829319,-42.1721,-44.8626,-14.745
2020-06-26T12:41:00+05:30,0.064265,,,-136.419,0,0
2020-06-26T12:42:00+05:30,-0.16086,-0.56369,,-350.303,246.4275,0
2020-06-26T12:43:00+05:30,-0.66898,,,315.8891,0,0
2020-06-26T12:44:00+05:30,-1.31038,-1.55108,,95.87595,175.1657,0
2020-06-26T12:45:00+05:30,-2.06251,,1.466234,57.39806,0,-48.1771
2020-06-26T12:46:00+05:30,-2.3932,-2.26041,,16.03327,45.73168,0
2020-06-26T12:47:00+05:30,-2.42099,,,1.161245,0,0
2020-06-26T12:48:00+05:30,-2.20729,-2.52817,,-8.82723,11.84566,0
2020-06-26T12:49:00+05:30,-2.02708,,,-8.16437,0,0
2020-06-26T12:50:00+05:30,-2.03861,-2.65572,0.585983,0.569103,5.044978,-60.0348
2020-06-26T12:51:00+05:30,-1.48861,,,-26.9791,0,0
2020-06-26T12:52:00+05:30,-1.10668,-2.55501,,-25.6569,-3.7923,0
2020-06-26T12:53:00+05:30,-0.97203,,,-12.1668,0,0
2020-06-26T12:54:00+05:30,-0.66537,-2.45587,,-31.5487,-3.8802,0
2020-06-26T12:55:00+05:30,-0.68345,,-0.05532,2.718109,0,-109.44
2020-06-26T12:56:00+05:30,-0.41118,-2.15469,,-39.8373,-12.2635,0
2020-06-26T12:57:00+05:30,-0.11704,,,-71.5355,0,0
2020-06-26T12:58:00+05:30,-0.01899,-2.00101,,-83.7785,-7.13241,0
2020-06-26T12:59:00+05:30,-0.04255,,,124.1067,0,0
2020-06-26T13:00:00+05:30,0.206798,-1.64333,-0.65797,-586.026,-17.8751,1089.44
2020-06-26T13:01:00+05:30,0.345624,,,67.13076,0,0
2020-06-26T13:02:00+05:30,0.311384,-1.85085,,-9.90654,12.62804,0
2020-06-26T13:03:00+05:30,-0.44289,,,-242.233,0,0
2020-06-26T13:04:00+05:30,-0.54536,-2.00665,,23.13634,8.417676,0
2020-06-26T13:05:00+05:30,-0.70493,,-1.27479,29.25847,0,93.74486
2020-06-26T13:06:00+05:30,-0.4723,-1.85882,,-33,-7.36663,0
2020-06-26T13:07:00+05:30,-0.38788,,,-17.8741,0,0
2020-06-26T13:08:00+05:30,-0.28822,-1.73162,,-25.695,-6.84334,0
2020-06-26T13:09:00+05:30,-0.20271,,,-29.6685,0,0
2020-06-26T13:10:00+05:30,-0.60234,-1.92479,-1.76823,197.1503,11.1553,38.70825
2020-06-26T13:11:00+05:30,-0.53068,,,-11.8963,0,0
2020-06-26T13:12:00+05:30,-0.35763,-1.65649,,-32.6094,-13.9388,0
2020-06-26T13:13:00+05:30,-0.04632,,,-87.0485,0,0
2020-06-26T13:14:00+05:30,0.399257,-0.94333,,-961.977,-43.0525,0
2020-06-26T13:15:00+05:30,0.98768,,-1.40269,147.3798,0,-20.673
2020-06-26T13:16:00+05:30,1.380461,-0.32799,,39.76803,-65.2304,0
2020-06-26T13:17:00+05:30,1.387564,,,0.514544,0,0
2020-06-26T13:18:00+05:30,1.529112,0.100392,,10.20118,-130.608,0
2020-06-26T13:19:00+05:30,1.386643,,,-9.3171,0,0
2020-06-26T13:20:00+05:30,1.405509,0.446347,-1.13501,1.360525,344.6054,-19.0829
2020-06-26T13:21:00+05:30,1.323468,,,-5.83705,0,0
2020-06-26T13:22:00+05:30,1.058213,0.461428,,-20.0424,3.378744,0
2020-06-26T13:23:00+05:30,0.791723,,,-25.183,0,0
2020-06-26T13:24:00+05:30,0.846141,0.610301,,6.873345,32.26346,0
2020-06-26T13:25:00+05:30,0.669338,,-1.01543,-20.8952,0,-10.5355
2020-06-26T13:26:00+05:30,0.569142,0.669506,,-14.9694,9.700991,0
2020-06-26T13:27:00+05:30,0.524108,,,-7.91262,0,0
2020-06-26T13:28:00+05:30,0.093618,0.486,,-82.1376,-27.4092,0
2020-06-26T13:29:00+05:30,0.120353,,,28.55705,0,0
2020-06-26T13:30:00+05:30,-0.21576,0.229078,-1.38383,-279.271,-52.8646,36.28007
2020-06-26T13:31:00+05:30,-0.28574,,,32.43571,0,0
2020-06-26T13:32:00+05:30,-0.54836,-0.23641,,91.90826,-203.202,0
2020-06-26T13:33:00+05:30,-0.95499,,,74.15457,0,0
2020-06-26T13:34:00+05:30,-1.32948,-1.06615,,39.21378,350.9706,0
2020-06-26T13:35:00+05:30,-1.99621,,-2.07838,50.149,0,50.19012
2020-06-26T13:36:00+05:30,-1.90039,-1.25502,,-4.8002,17.71481,0
2020-06-26T13:37:00+05:30,-1.49323,,,-21.4247,0,0
2020-06-26T13:38:00+05:30,-1.32051,-1.43149,,-11.5672,14.06126,0
2020-06-26T13:39:00+05:30,-1.27843,,,-3.18673,0,0
2020-06-26T13:40:00+05:30,-1.29838,-1.77753,-2.5935,1.560572,24.17388,24.78484
2020-06-26T13:41:00+05:30,-1.44574,,,11.34967,0,0
2020-06-26T13:42:00+05:30,-1.24074,-1.68596,,-14.1794,-5.15146,0
2020-06-26T13:43:00+05:30,-0.78452,,,-36.7699,0,0
2020-06-26T13:44:00+05:30,-0.43548,-1.3785,,-44.4916,-18.2367,0
2020-06-26T13:45:00+05:30,-0.09433,,-2.39017,-78.3394,0,-7.84012
2020-06-26T13:46:00+05:30,0.217822,-0.79872,,-330.923,-42.0587,0
2020-06-26T13:47:00+05:30,0.826786,,,279.5694,0,0
2020-06-26T13:48:00+05:30,0.930658,-0.42783,,12.56341,-46.4355,0
2020-06-26T13:49:00+05:30,0.991181,,,6.503186,0,0
2020-06-26T13:50:00+05:30,0.891465,-0.27653,-2.30141,-10.0603,-35.3635,-3.71339
2020-06-26T13:51:00+05:30,0.751947,,,-15.6505,0,0
2020-06-26T13:52:00+05:30,0.707952,-0.13616,,-5.85072,-50.7621,0
2020-06-26T13:53:00+05:30,0.60327,,,-14.7867,0,0
2020-06-26T13:54:00+05:30,0.391271,-0.1421,,-35.1416,4.362643,0
2020-06-26T13:55:00+05:30,0.326448,,-2.67444,-16.5675,0,16.20873
2020-06-26T13:56:00+05:30,-0.20826,-0.70658,,-163.797,397.2386,0
2020-06-26T13:57:00+05:30,-0.78881,,,278.7588,0,0
2020-06-26T13:58:00+05:30,-0.85532,-0.92304,,8.431432,30.63515,0
2020-06-26T13:59:00+05:30,-0.88776,,,3.793011,0,0
2020-06-26T14:00:00+05:30,-1.24613,-1.36421,-3.14087,40.36709,47.79615,17.44008
2020-06-26T14:01:00+05:30,-1.2766,,,2.445771,0,0
2020-06-26T14:02:00+05:30,-1.06196,-1.37436,,-16.8136,0.743756,0
2020-06-26T14:03:00+05:30,-0.89716,,,-15.5188,0,0
2020-06-26T14:04:00+05:30,-0.64574,-1.12504,,-28.0235,-18.1408,0
2020-06-26T14:05:00+05:30,-0.20497,,-2.95839,-68.2586,0,-5.8097
2020-06-26T14:06:00+05:30,0.31271,-0.68052,,-252.566,-39.5115,0
2020-06-26T14:07:00+05:30,0.429541,,,37.36097,0,0
2020-06-26T14:08:00+05:30,0.645406,-0.48481,,50.25464,-28.7596,0
2020-06-26T14:09:00+05:30,0.42235,,,-34.5605,0,0
2020-06-26T14:10:00+05:30,-0.50223,-1.25351,-3.54627,-218.914,158.559,19.87142
2020-06-26T14:11:00+05:30,-0.99685,,,98.48363,0,0
2020-06-26T14:12:00+05:30,-1.09804,-1.39334,,10.15151,11.15492,0
2020-06-26T14:13:00+05:30,-0.87464,,,-20.3453,0,0
2020-06-26T14:14:00+05:30,-0.55643,-1.06627,,-36.3824,-23.4736,0
2020-06-26T14:15:00+05:30,-0.07932,,-3.51743,-85.744,0,-0.8131
2020-06-26T14:16:00+05:30,0.364047,-0.80749,,-558.935,-24.2698,0
2020-06-26T14:17:00+05:30,0.149553,,,-58.9192,0,0
2020-06-26T14:18:00+05:30,-0.176,-0.86967,,-217.686,7.700778,0
2020-06-26T14:19:00+05:30,-0.01125,,,-93.6056,0,0
2020-06-26T14:20:00+05:30,0.449007,-0.15457,-2.72222,-4089.63,-82.227,-22.6078
2020-06-26T14:21:00+05:30,1.107629,,,146.6842,0,0
2020-06-26T14:22:00+05:30,1.633358,0.547914,,47.4644,-454.484,0
2020-06-26T14:23:00+05:30,1.667986,,,2.12006,0,0
2020-06-26T14:24:00+05:30,1.883772,1.073581,,12.93688,95.93984,0
2020-06-26T14:25:00+05:30,1.801828,,-1.93907,-4.34997,0,-28.7688
2020-06-26T14:26:00+05:30,1.539845,1.316428,,-14.5399,22.62028,0
2020-06-26T14:27:00+05:30,1.564527,,,1.602918,0,0
2020-06-26T14:28:00+05:30,1.540665,1.658243,,-1.52521,25.96539,0
2020-06-26T14:29:00+05:30,1.563887,,,1.507281,0,0
2020-06-26T14:30:00+05:30,1.749047,2.223868,-1.14842,11.83973,34.10989,-40.7746
2020-06-26T14:31:00+05:30,1.961387,,,12.14033,0,0
2020-06-26T14:32:00+05:30,1.546557,2.001606,,-21.1498,-9.99441,0
2020-06-26T14:33:00+05:30,0.90044,,,-41.7778,0,0
2020-06-26T14:34:00+05:30,0.332629,1.319723,,-63.0593,-34.0668,0
2020-06-26T14:35:00+05:30,-0.47937,,-2.38493,-244.117,0,107.6704
2020-06-26T14:36:00+05:30,-2.02619,-0.30833,,322.6728,-123.363,0
2020-06-26T14:37:00+05:30,-2.67789,,,32.16385,0,0
2020-06-26T14:38:00+05:30,-3.26116,-1.85945,,21.78104,503.0682,0
2020-06-26T14:39:00+05:30,-4.18154,,,28.22246,0,0
2020-06-26T14:40:00+05:30,-4.00779,-2.38972,-3.26781,-4.15499,28.51795,37.01896
2020-06-26T14:41:00+05:30,-3.33013,,,-16.9086,0,0
2020-06-26T14:42:00+05:30,-3.11441,-2.76862,,-6.47779,15.85534,0
2020-06-26T14:43:00+05:30,-2.68828,,,-13.6825,0,0
2020-06-26T14:44:00+05:30,-1.84335,-2.46008,,-31.4303,-11.1441,0
2020-06-26T14:45:00+05:30,-1.31526,,-3.41007,-28.6481,0,4.353552
2020-06-26T14:46:00+05:30,-0.86368,-2.15723,,-34.334,-12.3109,0
2020-06-26T14:47:00+05:30,-0.45942,,,-46.8071,0,0
2020-06-26T14:48:00+05:30,0.249232,-1.58011,,-154.25,-26.7526,0
2020-06-26T14:49:00+05:30,0.412145,,,65.36555,0,0
2020-06-26T14:50:00+05:30,0.711725,-1.09707,-3.18523,72.68814,-30.5702,-6.59358
2020-06-26T14:51:00+05:30,0.878614,,,23.44851,0,0
2020-06-26T14:52:00+05:30,0.964346,-0.7325,,9.757741,-33.2309,0
2020-06-26T14:53:00+05:30,0.995711,,,3.252412,0,0
2020-06-26T14:54:00+05:30,1.084811,-0.3671,,8.948421,-49.8838,0
2020-06-26T14:55:00+05:30,1.078512,,-3.18473,-0.58071,0,-0.01579
2020-06-26T14:56:00+05:30,0.627383,-0.59545,,-41.8288,62.20312,0
2020-06-26T14:57:00+05:30,0.19408,,,-69.0652,0,0
2020-06-26T14:58:00+05:30,-0.09091,-0.44872,,-146.84,-24.6419,0
2020-06-26T14:59:00+05:30,0.415063,,,-556.577,0,0
2020-06-26T15:00:00+05:30,1.402083,0.899652,-1.3801,237.8004,-300.492,-56.665
2020-06-26T15:01:00+05:30,2.38041,,,69.77661,0,0
2020-06-26T15:02:00+05:30,3.325293,2.390795,,39.69417,165.7465,0
2020-06-26T15:03:00+05:30,3.783672,,,13.7846,0,0
2020-06-26T15:04:00+05:30,3.984237,3.603815,,5.300816,50.73714,0
2020-06-26T15:05:00+05:30,4.392903,,-0.03841,10.25708,0,-97.2169
2020-06-26T15:06:00+05:30,4.137947,3.739487,,-5.80383,3.76468,0
2020-06-26T15:07:00+05:30,2.848756,,,-31.1553,0,0
2020-06-26T15:08:00+05:30,1.696747,3.270417,,-40.439,-12.5437,0
2020-06-26T15:09:00+05:30,1.315847,,,-22.4488,0,0
2020-06-26T15:10:00+05:30,0.379049,2.549527,0.372347,-71.1935,-22.0428,-1069.42
2020-06-26T15:11:00+05:30,-0.07935,,,-120.935,0,0
2020-06-26T15:12:00+05:30,-0.22327,2.254802,,181.3603,-11.56,0
2020-06-26T15:13:00+05:30,-0.3088,,,38.30768,0,0
2020-06-26T15:14:00+05:30,-0.2632,2.306106,,-14.7662,2.275297,0
2020-06-26T15:15:00+05:30,0.181882,,1.359772,-169.104,0,265.1893
2020-06-26T15:16:00+05:30,0.368596,2.398826,,102.6564,4.020629,0
2020-06-26T15:17:00+05:30,0.456131,,,23.74808,0,0
2020-06-26T15:18:00+05:30,0.530118,2.599713,,16.22069,8.374376,0
2020-06-26T15:19:00+05:30,0.877707,,,65.56825,0,0
2020-06-26T15:20:00+05:30,0.818159,2.556783,2.339797,-6.78458,-1.65131,72.07274
2020-06-26T15:21:00+05:30,0.673797,,,-17.6447,0,0
2020-06-26T15:22:00+05:30,0.81097,2.761105,,20.35817,7.991343,0
2020-06-26T15:23:00+05:30,0.987929,,,21.82058,0,0
2020-06-26T15:24:00+05:30,1.181487,2.905559,,19.5923,5.231764,0
2020-06-26T15:25:00+05:30,1.021612,,3.105314,-13.5316,0,32.71724
2020-06-26T15:26:00+05:30,0.690938,2.680802,,-32.3679,-7.7354,0
2020-06-26T15:27:00+05:30,0.549767,,,-20.4317,0,0
2020-06-26T15:28:00+05:30,0.533521,2.627568,,-2.95511,-1.98575,0
2020-06-26T15:29:00+05:30,0.502675,,,-5.78158,0,0